Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus,Mes,Mes_nombre
06/12/2022,00:48:35,2.8,15.1492,-92.0187,14.9,"24 km al NORESTE de CACAHOATAN, CHIS",06/12/2022,06:48:35,revisado,12,diciembre
09/02/2015,08:25:59,3,16.4988,-98.1863,5,"23 km al NOROESTE de PINOTEPA NACIONAL, OAX",09/02/2015,14:25:59,revisado,2,febrero
22/09/2014,23:35:27,3.2,14.6703,-92.4875,94.8,"36 km al SUROESTE de TAPACHULA, CHIS",23/09/2014,04:35:27,revisado,9,septiembre
01/12/2018,12:49:38,3.5,16.2815,-98.0775,14.1,"7 km al SUROESTE de PINOTEPA NACIONAL, OAX",01/12/2018,18:49:38,revisado,12,diciembre
03/02/2020,01:53:42,3.5,19.4597,-102.22,13.5,"11 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",03/02/2020,07:53:42,revisado,2,febrero
13/08/2023,22:11:14,3.3,16.4498,-96.2387,57.6,"40 km al NORESTE de MIAHUATLAN, OAX",14/08/2023,04:11:14,revisado,8,agosto
02/01/2014,08:44:03,3.9,15.8138,-93.6235,98.7,"33 km al SURESTE de TONALA, CHIS",02/01/2014,14:44:03,revisado,1,enero
30/08/2020,00:13:58,3.2,17.8295,-97.9152,61.1,"15 km al OESTE de H HUAJUAPAN DE LEON, OAX",30/08/2020,05:13:58,revisado,8,agosto
09/06/2015,10:27:52,3.6,14.8508,-93.2642,16.1,"77 km al SUROESTE de MAPASTEPEC, CHIS",09/06/2015,15:27:52,revisado,6,junio
08/07/2022,15:29:54,3.9,18.6978,-102.306,67.2,"42 km al SUROESTE de NUEVA ITALIA, MICH",08/07/2022,20:29:54,revisado,7,julio
03/02/2022,15:01:58,3.1,15.862,-97.398,16.3,"17 km al SUR de RIO GRANDE, OAX",03/02/2022,21:01:58,revisado,2,febrero
14/12/2018,02:45:58,3.2,16.2383,-97.878,10,"22 km al SURESTE de PINOTEPA NACIONAL, OAX",14/12/2018,08:45:58,revisado,12,diciembre
23/08/2020,23:30:14,3.3,19.6763,-103.75,25,"28 km al SUROESTE de SAYULA, JAL",24/08/2020,04:30:14,revisado,8,agosto
03/06/2017,10:14:30,4,16.2948,-99.539,16.2,"57 km al SUROESTE de SAN MARCOS, GRO",03/06/2017,15:14:30,revisado,6,junio
18/04/2014,11:30:19,3.1,17.3032,-101.297,16.2,"26 km al SUR de PETATLAN, GRO",18/04/2014,16:30:19,revisado,4,abril
03/08/2018,04:55:07,3.6,16.6663,-100.176,7.5,"37 km al SUROESTE de ACAPULCO, GRO",03/08/2018,09:55:07,revisado,8,agosto
15/09/2018,00:58:56,3.8,17.094,-101.172,16.1,"50 km al SUR de PETATLAN, GRO",15/09/2018,05:58:56,revisado,9,septiembre
08/06/2018,07:37:26,3,16.311,-98.298,12.8,"26 km al OESTE de PINOTEPA NACIONAL, OAX",08/06/2018,12:37:26,revisado,6,junio
03/10/2017,16:35:31,4,15.0932,-93.8518,19.9,"95 km al SUROESTE de PIJIJIAPAN, CHIS",03/10/2017,21:35:31,revisado,10,octubre
25/07/2022,00:25:28,3.7,18.6387,-106.202,10,"185 km al SUROESTE de CIHUATLAN, JAL",25/07/2022,05:25:28,revisado,7,julio
04/07/2023,04:24:21,3.8,16.9192,-94.4298,5,"65 km al NORESTE de UNION HIDALGO, OAX",04/07/2023,10:24:21,revisado,7,julio
16/02/2022,22:43:42,3.7,15.659,-93.823,69.2,"48 km al SUR de TONALA, CHIS",17/02/2022,04:43:42,revisado,2,febrero
17/06/2024,13:30:36,3.1,31.37,-115.46,5.6,"70 km al NOROESTE de SAN FELIPE, BC ",17/06/2024,19:30:36,verificado,6,junio
23/10/2019,00:36:23,3.9,16.4088,-95.07,10,"6 km al SUROESTE de JUCHITAN DE ZARAGOZA, OAX",23/10/2019,05:36:23,revisado,10,octubre
10/05/2015,17:35:41,3.4,16.6435,-95.104,93.7,"9 km al NORTE de CD IXTEPEC, OAX",10/05/2015,22:35:41,revisado,5,mayo
06/04/2015,21:13:24,3.2,32.0353,-116.067,18.2,"55 km al NORESTE de ENSENADA, BC",07/04/2015,02:13:24,revisado,4,abril
13/07/2013,12:07:51,3.6,29.674,-114.102,16.2,"166 km al SURESTE de SAN FELIPE, BC",13/07/2013,17:07:51,revisado,7,julio
26/12/2012,21:52:56,3.9,17.2178,-100.975,25.2,"37 km al OESTE de TECPAN, GRO",27/12/2012,03:52:56,revisado,12,diciembre
10/06/2015,05:19:14,3.9,16.5723,-96.4922,59.6,"29 km al NORESTE de MIAHUATLAN, OAX",10/06/2015,10:19:14,revisado,6,junio
21/10/2023,09:33:34,3.9,13.9408,-92.808,10,"108 km al SUROESTE de CD HIDALGO, CHIS",21/10/2023,15:33:34,revisado,10,octubre
30/04/2023,16:48:55,3.4,15.995,-97.0543,33.6,"15 km al NORTE de PUERTO ESCONDIDO, OAX",30/04/2023,22:48:55,revisado,4,abril
19/08/2022,10:25:01,3.5,17.3705,-100.885,17,"32 km al NOROESTE de TECPAN, GRO",19/08/2022,15:25:01,revisado,8,agosto
29/03/2020,21:39:42,3.6,16.4035,-98.9163,6.5,"63 km al SUROESTE de OMETEPEC, GRO",30/03/2020,03:39:42,revisado,3,marzo
09/07/2019,14:55:32,3.6,17.2742,-95.1523,124.2,"46 km al NORTE de MATIAS ROMERO, OAX",09/07/2019,19:55:32,revisado,7,julio
11/08/2013,11:47:01,3.4,15.3083,-93.2292,93,"39 km al SUROESTE de MAPASTEPEC, CHIS",11/08/2013,16:47:01,revisado,8,agosto
29/06/2016,14:29:59,3.2,16.192,-98.0455,20,"17 km al SUR de PINOTEPA NACIONAL, OAX",29/06/2016,19:29:59,revisado,6,junio
18/03/2022,04:03:33,3.5,18.751,-104.531,9.4,"40 km al SUROESTE de MANZANILLO, COL",18/03/2022,10:03:33,revisado,3,marzo
10/04/2022,16:39:58,3.6,16.8922,-95.2233,101.6,"19 km al OESTE de MATIAS ROMERO, OAX",10/04/2022,21:39:58,revisado,4,abril
15/10/2019,08:56:33,3.5,17.3145,-96.5513,71.7,"32 km al NORESTE de STA LUCIA DEL CAMINO, OAX",15/10/2019,13:56:33,revisado,10,octubre
08/12/2016,10:35:52,3.8,18.142,-103.462,5,"77 km al SUROESTE de COALCOMAN, MICH",08/12/2016,16:35:52,revisado,12,diciembre
02/03/2023,06:52:25,3.7,15.8908,-95.0902,31.6,"34 km al SURESTE de SALINA CRUZ, OAX",02/03/2023,12:52:25,revisado,3,marzo
11/02/2021,08:52:26,3.3,17.0745,-99.8085,42.7,"24 km al NORESTE de ACAPULCO, GRO",11/02/2021,14:52:26,revisado,2,febrero
29/11/2022,19:26:08,3.3,16.4322,-98.4768,24.8,"29 km al SUROESTE de OMETEPEC, GRO",30/11/2022,01:26:08,revisado,11,noviembre
22/04/2020,00:24:15,3.7,17.0417,-95.8172,56.7,"71 km al ESTE de TLACOLULA, OAX",22/04/2020,05:24:15,revisado,4,abril
01/09/2015,14:58:49,3.9,18.5913,-104.124,10,"41 km al SUROESTE de CD DE ARMERIA, COL",01/09/2015,19:58:49,revisado,9,septiembre
02/09/2015,19:45:44,3.7,19.1203,-104.017,27.3,"21 km al NOROESTE de CD DE ARMERIA, COL",03/09/2015,00:45:44,revisado,9,septiembre
23/09/2022,22:17:36,3.7,18.0633,-103.094,10,"79 km al SUR de COALCOMAN, MICH",24/09/2022,03:17:36,revisado,9,septiembre
28/12/2021,11:10:38,3.9,18.392,-101.495,88.7,"68 km al SUROESTE de HUETAMO, MICH",28/12/2021,17:10:38,revisado,12,diciembre
06/05/2017,10:28:43,3.5,16.8682,-94.848,55.7,"21 km al ESTE de MATIAS ROMERO, OAX",06/05/2017,15:28:43,revisado,5,mayo
04/07/2016,20:46:30,3.4,15.5182,-92.7167,102.3,"21 km al NORESTE de MAPASTEPEC, CHIS",05/07/2016,01:46:30,revisado,7,julio
19/02/2018,14:52:08,3.7,16.2362,-98.0688,5.8,"12 km al SUR de PINOTEPA NACIONAL, OAX",19/02/2018,20:52:08,revisado,2,febrero
12/10/2021,03:10:42,3.6,16.7827,-99.8007,5,"14 km al SURESTE de ACAPULCO, GRO",12/10/2021,08:10:42,revisado,10,octubre
07/12/2021,11:58:14,3.1,16.3163,-92.394,65,"6 km al SUROESTE de LAS ROSAS, CHIS",07/12/2021,17:58:14,revisado,12,diciembre
05/11/2017,11:02:52,3.2,16.0393,-97.5833,27.5,"16 km al OESTE de RIO GRANDE, OAX",05/11/2017,17:02:52,revisado,11,noviembre
17/04/2013,12:50:19,3.7,16.2742,-98.1597,14.9,"14 km al SUROESTE de PINOTEPA NACIONAL, OAX",17/04/2013,17:50:19,revisado,4,abril
02/02/2019,22:56:52,3.7,19.5513,-104.475,5,"7 km al SUROESTE de CASIMIRO CASTILLO, JAL",03/02/2019,04:56:52,revisado,2,febrero
31/12/2023,11:33:48,3.5,32.4982,-115.275,4.9,"26 km al SURESTE de MEXICALI, BC",31/12/2023,17:33:48,revisado,12,diciembre
03/09/2019,14:30:15,3.7,15.0177,-94.3215,9.8,"133 km al SUROESTE de TONALA, CHIS",03/09/2019,19:30:15,revisado,9,septiembre
24/08/2022,23:12:03,3.3,16.3495,-97.87,5,"19 km al ESTE de PINOTEPA NACIONAL, OAX",25/08/2022,04:12:03,revisado,8,agosto
24/10/2023,16:42:01,3.2,18.2395,-103.233,25.1,"60 km al SUR de COALCOMAN, MICH",24/10/2023,22:42:01,revisado,10,octubre
26/11/2020,01:05:02,3.6,16.8112,-100.102,5,"22 km al SUR de COYUCA DE BENITEZ, GRO",26/11/2020,07:05:02,revisado,11,noviembre
10/09/2024,05:37:32,3.5,16.35,-98.24,14.5,"20 km al OESTE de PINOTEPA NACIONAL, OAX ",10/09/2024,11:37:32,verificado,9,septiembre
08/10/2023,17:10:40,3.3,15.9512,-95.7265,34.1,"48 km al NORESTE de CRUCECITA, OAX",08/10/2023,23:10:40,revisado,10,octubre
01/03/2018,16:38:07,2.9,16.2972,-97.832,10,"24 km al ESTE de PINOTEPA NACIONAL, OAX",01/03/2018,22:38:07,revisado,3,marzo
07/01/2010,13:20:12,3.5,18.27,-100.68,60,"10 km al SUR de CD ALTAMIRANO, GRO",07/01/2010,19:20:12,revisado,1,enero
15/11/2022,19:33:35,3.7,26.825,-105.765,3,"16 km al SUROESTE de HIDALGO DEL PARRAL, CHIH",16/11/2022,01:33:35,revisado,11,noviembre
29/04/2023,01:41:10,3,17.1968,-99.9072,56.2,"28 km al NORESTE de COYUCA DE BENITEZ, GRO",29/04/2023,07:41:10,revisado,4,abril
05/02/2012,18:33:15,3.8,14.7658,-93.2785,26.8,"85 km al SUROESTE de MAPASTEPEC, CHIS",06/02/2012,00:33:15,revisado,2,febrero
24/04/2023,18:16:29,4,16.5083,-95.1552,4.4,"8 km al SUROESTE de CD IXTEPEC, OAX",25/04/2023,00:16:29,revisado,4,abril
07/11/2008,17:01:45,3.7,15.83,-97.24,14,"19 km al OESTE de PUERTO ESCONDIDO, OAX",07/11/2008,23:01:45,revisado,11,noviembre
14/11/2024,13:20:45,2.9,16.305,-97.811,10,"26 km al ESTE de PINOTEPA NACIONAL, OAX ",14/11/2024,19:20:45,verificado,11,noviembre
18/08/2011,16:28:02,3.5,17.84,-103.02,22,"76 km al SUROESTE de LA MIRA, MICH",18/08/2011,21:28:02,revisado,8,agosto
14/01/2020,14:03:48,3.6,17.431,-95.896,5,"75 km al SUR de LOMA BONITA, OAX",14/01/2020,20:03:48,revisado,1,enero
17/07/2005,14:33:17,4.4,19.66,-109.31,10,"363 km al SUR de CABO SAN LUCAS, BCS",17/07/2005,19:33:17,revisado,7,julio
15/04/2018,18:22:06,3.7,15.1712,-93.325,79.6,"55 km al SUROESTE de MAPASTEPEC, CHIS",15/04/2018,23:22:06,revisado,4,abril
28/04/2015,21:37:43,3.9,16.135,-94.771,64.9,"38 km al SUR de UNION HIDALGO, OAX",29/04/2015,02:37:43,revisado,4,abril
23/09/2022,15:05:01,3.4,18.9712,-104.529,30.2,"24 km al SUROESTE de MANZANILLO, COL",23/09/2022,20:05:01,revisado,9,septiembre
10/10/2024,00:55:59,3.6,17.22,-94.87,133.7,"43 km al NORESTE de MATIAS ROMERO, OAX ",10/10/2024,06:55:59,verificado,10,octubre
01/10/2022,01:41:49,3.3,16.2448,-98.0783,10.6,"11 km al SUR de PINOTEPA NACIONAL, OAX",01/10/2022,06:41:49,revisado,10,octubre
31/03/2021,06:58:18,3.5,16.6058,-93.543,160.3,"21 km al SURESTE de CINTALAPA, CHIS",31/03/2021,12:58:18,revisado,3,marzo
19/02/2021,23:15:00,3.5,16.4263,-98.4007,24.7,"28 km al SUR de OMETEPEC, GRO",20/02/2021,05:15:00,revisado,2,febrero
01/03/2022,02:07:30,3.5,20.2077,-105.969,19,"89 km al SUROESTE de PUERTO VALLARTA, JAL",01/03/2022,08:07:30,revisado,3,marzo
14/09/2021,04:38:23,3.7,16.3005,-93.9748,123.3,"11 km al NOROESTE de ARRIAGA , CHIS",14/09/2021,09:38:23,revisado,9,septiembre
18/04/2014,18:02:37,3.8,17.2988,-101.382,15,"29 km al SUROESTE de PETATLAN, GRO",18/04/2014,23:02:37,revisado,4,abril
30/04/2011,03:22:16,3.8,18.12,-103.17,13,"73 km al SUR de COALCOMAN, MICH",30/04/2011,08:22:16,revisado,4,abril
23/03/2016,18:54:40,3.7,16.2585,-97.9968,7.6,"11 km al SURESTE de PINOTEPA NACIONAL, OAX",24/03/2016,00:54:40,revisado,3,marzo
17/10/2017,11:36:47,4,14.9602,-94.1262,10,"127 km al SUROESTE de PIJIJIAPAN, CHIS",17/10/2017,16:36:47,revisado,10,octubre
15/03/2020,15:07:57,3.1,18.5105,-103.292,48.3,"33 km al SUROESTE de COALCOMAN, MICH",15/03/2020,21:07:57,revisado,3,marzo
17/11/2017,06:14:31,3.8,15.3373,-94.685,16.9,"108 km al SURESTE de SALINA CRUZ, OAX",17/11/2017,12:14:31,revisado,11,noviembre
26/07/2024,22:56:08,3,17.99,-98.65,57.2,"35 km al SUR de CHIAUTLA DE TAPIA, PUE ",27/07/2024,04:56:08,verificado,7,julio
14/02/2019,10:27:57,3.6,19.4595,-105.462,16.1,"98 km al OESTE de CIHUATLAN, JAL",14/02/2019,16:27:57,revisado,2,febrero
15/03/2023,18:55:14,3.6,27.9598,-112.163,9.4,"70 km al NORTE de SANTA ROSALIA, BCS",16/03/2023,00:55:14,revisado,3,marzo
27/02/2024,11:44:18,3.7,16.5495,-99.3302,8,"28 km al SUR de SAN MARCOS, GRO",27/02/2024,17:44:18,revisado,2,febrero
26/01/2021,07:45:21,3.5,16.0052,-97.5968,13.3,"17 km al OESTE de RIO GRANDE, OAX",26/01/2021,13:45:21,revisado,1,enero
15/01/2022,15:14:58,3,30.9935,-115.055,10,"21 km al OESTE de SAN FELIPE, BC",15/01/2022,21:14:58,revisado,1,enero
26/11/2018,22:18:21,4,16.025,-95.9697,52.7,"33 km al NORESTE de CRUCECITA, OAX",27/11/2018,04:18:21,revisado,11,noviembre
06/08/2016,15:30:03,3.4,16.3618,-97.8543,9.5,"21 km al ESTE de PINOTEPA NACIONAL, OAX",06/08/2016,20:30:03,revisado,8,agosto
17/09/2024,06:17:11,1.5,23.01,-109.74,10.7,"6 km al SUROESTE de SAN JOSE DEL CABO, BCS ",17/09/2024,12:17:11,verificado,9,septiembre
15/06/2024,18:02:50,3.1,18.74,-104.3,14,"35 km al SUR de MANZANILLO, COL ",16/06/2024,00:02:50,verificado,6,junio
31/10/2017,04:34:36,3.4,16.3118,-98.11,14,"7 km al SUROESTE de PINOTEPA NACIONAL, OAX",31/10/2017,10:34:36,revisado,10,octubre
21/09/2017,23:01:36,3.9,15.3095,-94.5983,16.1,"116 km al SURESTE de SALINA CRUZ, OAX",22/09/2017,04:01:36,revisado,9,septiembre
03/09/2024,17:33:25,1.7,23.03,-109.72,10,"4 km al SUROESTE de SAN JOSE DEL CABO, BCS ",03/09/2024,23:33:25,verificado,9,septiembre
19/01/2021,00:58:32,3.4,18.0147,-100.404,60.9,"36 km al SUROESTE de ARCELIA, GRO",19/01/2021,06:58:32,revisado,1,enero
30/11/2022,05:26:44,3.5,30.684,-116.291,11.9,"29 km al OESTE de VICENTE GUERRERO, BC",30/11/2022,11:26:44,revisado,11,noviembre
29/11/2017,19:30:50,3.6,15.8135,-95.1423,65.5,"41 km al SUR de SALINA CRUZ, OAX",30/11/2017,01:30:50,revisado,11,noviembre
19/02/2000,03:48:29,5,13.36,-91.62,28,"157 km al SURESTE de CD HIDALGO, CHIS",19/02/2000,09:48:29,revisado,2,febrero
02/12/2018,13:41:41,3.6,16.0595,-95.2722,64.1,"16 km al SUROESTE de SALINA CRUZ, OAX",02/12/2018,19:41:41,revisado,12,diciembre
21/12/2008,08:15:46,3.9,18.01,-101.69,16,"43 km al NOROESTE de ZIHUATANEJO, GRO",21/12/2008,14:15:46,revisado,12,diciembre
27/06/2019,08:05:40,3.9,18.0742,-103.386,9.5,"81 km al SUROESTE de COALCOMAN, MICH",27/06/2019,13:05:40,revisado,6,junio
12/01/2020,10:40:40,4.1,18.2238,-99.3703,52.5,"10 km al SUROESTE de CD DE HUITZUCO, GRO",12/01/2020,16:40:40,revisado,1,enero
26/04/2016,19:33:25,3.5,16.9227,-100.856,23.6,"41 km al SUROESTE de TECPAN, GRO",27/04/2016,00:33:25,revisado,4,abril
06/06/2021,05:52:33,3.7,18.1467,-103.495,5,"78 km al SUROESTE de COALCOMAN, MICH",06/06/2021,10:52:33,revisado,6,junio
31/01/2016,02:29:06,3.4,16.1863,-97.2048,20.5,"31 km al NORESTE de RIO GRANDE, OAX",31/01/2016,08:29:06,revisado,1,enero
29/08/2021,16:38:26,3.3,16.503,-98.2493,5.3,"26 km al SURESTE de OMETEPEC, GRO",29/08/2021,21:38:26,revisado,8,agosto
07/05/2020,02:06:40,3.8,18.0435,-99.9318,56,"36 km al SUR de TELOLOAPAN, GRO",07/05/2020,07:06:40,revisado,5,mayo
14/06/2022,05:02:25,3.4,31.3952,-115.268,6.6,"58 km al NOROESTE de SAN FELIPE, BC",14/06/2022,10:02:25,revisado,6,junio
12/11/2014,17:20:30,3.9,16.027,-95.6912,8.8,"55 km al NORESTE de CRUCECITA, OAX",12/11/2014,23:20:30,revisado,11,noviembre
08/08/2023,06:06:26,3.4,30.75,-116.298,11.4,"30 km al OESTE de VICENTE GUERRERO, BC",08/08/2023,12:06:26,revisado,8,agosto
04/06/2018,06:14:06,3.3,16.3058,-97.8468,9.2,"22 km al ESTE de PINOTEPA NACIONAL, OAX",04/06/2018,11:14:06,revisado,6,junio
07/11/2017,16:34:19,4.2,15.0418,-94.0622,33.9,"116 km al SUROESTE de PIJIJIAPAN, CHIS",07/11/2017,22:34:19,revisado,11,noviembre
07/05/2021,03:37:08,3.5,15.7482,-96.5333,9.3,"7 km al OESTE de S PEDRO POCHUTLA, OAX",07/05/2021,08:37:08,revisado,5,mayo
20/01/2023,16:21:07,3.6,16.6862,-93.9958,134.8,"29 km al OESTE de CINTALAPA, CHIS",20/01/2023,22:21:07,revisado,1,enero
30/03/2024,09:09:58,4,18.3183,-100.928,66.7,"28 km al OESTE de CD ALTAMIRANO, GRO",30/03/2024,15:09:58,revisado,3,marzo
21/12/2020,01:47:35,3.7,21.3192,-99.367,4,"60 km al OESTE de TAMAZUNCHALE, SLP",21/12/2020,07:47:35,revisado,12,diciembre
30/10/1991,08:17:47,3.9,15.83,-97.23,15,"18 km al OESTE de PUERTO ESCONDIDO, OAX",30/10/1991,14:17:47,revisado,10,octubre
26/01/2020,21:51:27,3.6,19.5005,-102.228,12.8,"14 km al NOROESTE de NVO S J PARANGARICUTIRO, MICH",27/01/2020,03:51:27,revisado,1,enero
07/04/2021,18:09:45,3.8,27.4903,-111.531,10,"75 km al ESTE de SANTA ROSALIA, BCS",07/04/2021,23:09:45,revisado,4,abril
17/09/2015,21:05:32,4.2,16.8827,-94.9325,117.2,"12 km al ESTE de MATIAS ROMERO, OAX",18/09/2015,02:05:32,revisado,9,septiembre
29/09/2024,05:13:06,1.4,23,-109.78,9.5,"10 km al SUROESTE de SAN JOSE DEL CABO, BCS ",29/09/2024,11:13:06,verificado,9,septiembre
21/04/2023,01:17:50,3.6,15.806,-97.3267,3.5,"25 km al SURESTE de RIO GRANDE, OAX",21/04/2023,07:17:50,revisado,4,abril
03/06/2013,14:33:27,3.9,16.3353,-97.9228,2,"14 km al ESTE de PINOTEPA NACIONAL, OAX",03/06/2013,19:33:27,revisado,6,junio
17/03/2023,13:41:28,3.9,17.1615,-95.2323,118.7,"38 km al NOROESTE de MATIAS ROMERO, OAX",17/03/2023,19:41:28,revisado,3,marzo
13/06/2019,08:44:19,3.5,16.0728,-98.2568,3.1,"37 km al SUROESTE de PINOTEPA NACIONAL, OAX",13/06/2019,13:44:19,revisado,6,junio
23/08/2018,00:12:44,3.6,19.396,-103.175,34.3,"16 km al SURESTE de TECALITLAN, JAL",23/08/2018,05:12:44,revisado,8,agosto
27/04/2024,04:35:28,3.7,16.36,-97.85,1.2,"22 km al ESTE de PINOTEPA NACIONAL, OAX ",27/04/2024,10:35:28,verificado,4,abril
02/01/2024,19:10:31,3.4,15.3327,-96.7058,16.4,"52 km al SUROESTE de S PEDRO POCHUTLA, OAX",03/01/2024,01:10:31,revisado,1,enero
06/09/2023,23:22:16,3.2,16.6285,-98.3858,30.6,"6 km al SURESTE de OMETEPEC, GRO",07/09/2023,05:22:16,revisado,9,septiembre
12/04/2021,14:08:19,4.1,17.385,-94.5985,147.5,"65 km al SUR de JALTIPAN DE MORELOS, VER",12/04/2021,19:08:19,revisado,4,abril
20/11/2013,03:29:53,3.7,15.9408,-96.8157,7.3,"28 km al NORESTE de PUERTO ESCONDIDO, OAX",20/11/2013,09:29:53,revisado,11,noviembre
17/07/2018,06:08:21,3.4,18.174,-103.513,5,"76 km al SUROESTE de COALCOMAN, MICH",17/07/2018,11:08:21,revisado,7,julio
26/12/2020,03:39:04,3.4,18.0825,-98.6062,52.9,"24 km al SUR de CHIAUTLA DE TAPIA, PUE",26/12/2020,09:39:04,revisado,12,diciembre
12/09/2021,16:45:02,3.8,21.6938,-101.041,5,"30 km al NORESTE de SAN FELIPE, GTO",12/09/2021,21:45:02,revisado,9,septiembre
28/11/2016,05:36:05,3.8,14.991,-96.2803,14.8,"86 km al SUR de S PEDRO POCHUTLA, OAX",28/11/2016,11:36:05,revisado,11,noviembre
25/09/2011,00:16:04,3.7,15.03,-92.98,76,"46 km al SUR de MAPASTEPEC, CHIS",25/09/2011,05:16:04,revisado,9,septiembre
25/12/2015,06:53:54,3.9,16.9058,-94.1135,148.7,"48 km al NOROESTE de CINTALAPA, CHIS",25/12/2015,12:53:54,revisado,12,diciembre
08/06/2019,00:26:53,4,16.2152,-97.5185,6.2,"24 km al NOROESTE de RIO GRANDE, OAX",08/06/2019,05:26:53,revisado,6,junio
03/05/2023,04:39:18,3.5,30.7435,-116.21,10,"21 km al OESTE de VICENTE GUERRERO, BC",03/05/2023,10:39:18,revisado,5,mayo
